Country,Region,City,District
France,Île-de-France,Coupvray,
France,Île-de-France,Paris,Arrondissement du Louvre
France,Île-de-France,Paris,Arrondissement de la Bourse
France,Île-de-France,Paris,Arrondissement du Temple
France,Île-de-France,Paris,Arrondissement de l'Hôtel-de-Ville
France,Île-de-France,Paris,Arrondissement du Panthéon
France,Île-de-France,Paris,Arrondissement du Luxembourg
France,Île-de-France,Paris,Arrondissement du Palais-Bourbon
France,Île-de-France,Paris,Arrondissement de l'Elysée
France,Île-de-France,Paris,Arrondissement de l'Opéra
France,Île-de-France,Paris,Arrondissement de l'Entrepôt
France,Île-de-France,Paris,Arrondissement de Popincourt
France,Île-de-France,Paris,Arrondissement de Reuilly
France,Île-de-France,Paris,Arrondissement des Gobelins
France,Île-de-France,Paris,Arrondissement de l'Observatoire
France,Île-de-France,Paris,Arrondissement de Vaugirard
France,Île-de-France,Paris,Arrondissement de Passy
France,Île-de-France,Paris,Arrondissement de Batignolles-Monceau
France,Île-de-France,Paris,Arrondissement des Buttes-Montmartre
France,Île-de-France,Paris,Arrondissement des Buttes-Chaumont
France,Île-de-France,Paris,Arrondissement de Ménilmontant
France,Île-de-France,Versailles,
France,Provence-Alpes-Côte d'Azur,Nice,
France,Provence-Alpes-Côte d'Azur,Marseille,
France,Provence-Alpes-Côte d'Azur,Cannes,
France,Provence-Alpes-Côte d'Azur,Avignon,
France,Provence-Alpes-Côte d'Azur,Antibes,
France,Provence-Alpes-Côte d'Azur,Saint-Tropez,
France,Provence-Alpes-Côte d'Azur,Aix-en-Provence,
France,Provence-Alpes-Côte d'Azur,Arles,
France,Provence-Alpes-Côte d'Azur,Opio,
France,Grand Est,Strasbourg,
France,Grand Est,Trémery,
France,Grand Est,Colmar,
France,Grand Est,Cattenom,
France,Grand Est,Reims,
France,Grand Est,Metzeral,
France,Grand Est,Amnéville,
France,Auvergne-Rhône-Alpes,Lyon,
France,Auvergne-Rhône-Alpes,Chamonix,
France,Auvergne-Rhône-Alpes,Annecy,
France,Auvergne-Rhône-Alpes,Dompierre-sur-Besbre,
France,Auvergne-Rhône-Alpes,Tignes,
France,Auvergne-Rhône-Alpes,Val-d'Isère,
France,Auvergne-Rhône-Alpes,Bourg-Saint-Maurice,
France,Auvergne-Rhône-Alpes,Rencurel,
France,Nouvelle-Aquitaine,Bordeaux,
France,Nouvelle-Aquitaine,La Rochelle,
France,Nouvelle-Aquitaine,Arcachon,
France,Nouvelle-Aquitaine,Les Mathes,
France,Nouvelle-Aquitaine,Biarritz,
France,Hauts-de-France,Lille,
France,Hauts-de-France,Boulogne-sur-Mer,
France,Hauts-de-France,Calais,
France,Hauts-de-France,Plailly,
France,Corsica,Ajaccio,
France,Corsica,Monticello,
France,Normandy,Mont Saint-Michel,
France,Normandy,Le Havre,
France,Normandy,Caen,
